0 0.1 0.1 0.12
0 0.1 0.2 0.2
0 0.1 0.3 0.3
0 0.1 0.4 0.36
0 0.1 0.5 0.56
0 0.1 0.6 0.62
0 0.1 0.7 0.76
0 0.1 0.8 0.88
0 0.1 0.9 0.92
0 0.2 0.1 0.08
0 0.2 0.2 0.2
0 0.2 0.3 0.4
0 0.2 0.4 0.38
0 0.2 0.5 0.38
0 0.2 0.6 0.62
0 0.2 0.7 0.72
0 0.2 0.8 0.82
0 0.2 0.9 0.98
0 0.3 0.1 0.1
0 0.3 0.2 0.24
0 0.3 0.3 0.32
0 0.3 0.4 0.42
0 0.3 0.5 0.48
0 0.3 0.6 0.64
0 0.3 0.7 0.64
0 0.3 0.8 0.82
0 0.3 0.9 0.88
0 0.4 0.1 0.14
0 0.4 0.2 0.28
0 0.4 0.3 0.36
0 0.4 0.4 0.5
0 0.4 0.5 0.5
0 0.4 0.6 0.56
0 0.4 0.7 0.62
0 0.4 0.8 0.76
0 0.4 0.9 0.96
0 0.5 0.1 0.1
0 0.5 0.2 0.2
0 0.5 0.3 0.28
0 0.5 0.4 0.5
0 0.5 0.5 0.5
0 0.5 0.6 0.58
0 0.5 0.7 0.66
0 0.5 0.8 0.84
0 0.5 0.9 0.8
0 0.6 0.1 0.04
0 0.6 0.2 0.16
0 0.6 0.3 0.42
0 0.6 0.4 0.42
0 0.6 0.5 0.4
0 0.6 0.6 0.58
0 0.6 0.7 0.74
0 0.6 0.8 0.88
0 0.6 0.9 0.9
0 0.7 0.1 0.14
0 0.7 0.2 0.18
0 0.7 0.3 0.18
0 0.7 0.4 0.42
0 0.7 0.5 0.54
0 0.7 0.6 0.58
0 0.7 0.7 0.8
0 0.7 0.8 0.68
0 0.7 0.9 0.88
0 0.8 0.1 0.1
0 0.8 0.2 0.26
0 0.8 0.3 0.38
0 0.8 0.4 0.38
0 0.8 0.5 0.48
0 0.8 0.6 0.7
0 0.8 0.7 0.78
0 0.8 0.8 0.72
0 0.8 0.9 0.88
0 0.9 0.1 0.12
0 0.9 0.2 0.3
0 0.9 0.3 0.28
0 0.9 0.4 0.34
0 0.9 0.5 0.58
0 0.9 0.6 0.7
0 0.9 0.7 0.68
0 0.9 0.8 0.82
0 0.9 0.9 0.9

1 0.1 0.1 0.02
1 0.1 0.2 0.02
1 0.1 0.3 0.08
1 0.1 0.4 0.26
1 0.1 0.5 0.32
1 0.1 0.6 0.3
1 0.1 0.7 0.58
1 0.1 0.8 0.52
1 0.1 0.9 0.82
1 0.2 0.1 0
1 0.2 0.2 0.04
1 0.2 0.3 0.1
1 0.2 0.4 0.18
1 0.2 0.5 0.12
1 0.2 0.6 0.18
1 0.2 0.7 0.44
1 0.2 0.8 0.52
1 0.2 0.9 0.82
1 0.3 0.1 0
1 0.3 0.2 0.04
1 0.3 0.3 0.06
1 0.3 0.4 0.12
